probe_id	gene_id	symbol
1000_at	5595	MAPK3
1001_at	7075	TIE1
1002_f_at	1557	CYP2C19
1003_s_at	643	CXCR5
1004_at	643	CXCR5
1005_at	1843	DUSP1
1006_at	4319	MMP10
1008_f_at	5610	EIF2AK2
1009_at	3094	HINT1
100_g_at	5875	RABGGTA
1010_at	5600	MAPK11
1011_s_at	7531	YWHAE
1012_at	8850	KAT2B
1013_at	4090	SMAD5
1014_at	5428	POLG
1015_s_at	3984	LIMK1
1016_s_at	3598	IL13RA2
1017_at	2956	MSH6
1018_at	7480	WNT10B
1019_g_at	7480	WNT10B
101_at	8798	DYRK4
1020_s_at	10519	CIB1
1021_at	3458	IFNG
1022_f_at	3448	IFNA14
1023_at	2056	EPO
1024_at	1543	CYP1A1
1025_g_at	1543	CYP1A1
1026_s_at	1302	COL11A2
1027_at	1302	COL11A2
1028_at	7156	TOP3A
1029_s_at	7294	TXK
102_at	10114	HIPK3
1030_s_at	7150	TOP1
1031_at	6732	SRPK1
1032_at	3579	CXCR2
1033_g_at	3579	CXCR2
1034_at	7078	TIMP3
1035_g_at	7078	TIMP3
1036_at	3600	IL15
1037_at	574	BAGE
1038_s_at	3459	IFNGR1
1039_s_at	3091	HIF1A
103_at	7060	THBS4
1040_s_at	10152	ABI2
1041_at	1946	EFNA5
1042_at	5918	RARRES1
1043_s_at	5893	RAD52
1044_s_at	1875	E2F5
1045_s_at	5970	RELA
1046_at	24138	IFIT5
1048_at	6258	RXRG
1049_g_at	6258	RXRG
104_at	5463	POU6F1
1050_at	2315	MLANA
1051_g_at	2315	MLANA
1052_s_at	1052	CEBPD
1053_at	5982	RFC2
1054_at	5984	RFC4
1055_g_at	5984	RFC4
1056_s_at	3603	IL16
1057_at	1382	CRABP2
1058_at	10810	WASF3
1059_at	4916	NTRK3
105_at	9970	NR1I3
1060_g_at	4916	NTRK3
1061_at	3587	IL10RA
1062_g_at	3587	IL10RA
1063_s_at	7301	TYRO3
1064_at	5756	TWF1
1065_at	2322	FLT3
1066_at	3594	IL12RB1
1067_at	2323	FLT3LG
1068_g_at	2323	FLT3LG
1069_at	5743	PTGS2
106_at	864	RUNX3
1070_at	2959	GTF2B
1071_at	2624	GATA2
1072_g_at	2624	GATA2
1073_at	6917	TCEA1
1074_at	5861	RAB1A
1075_f_at	3449	IFNA16
1076_at	3552	IL1A
1077_at	5896	RAG1
1078_at	5618	PRLR
1079_g_at	5618	PRLR
107_at	282808	RAB40AL
1080_s_at	1544	CYP1A2
1081_at	4953	ODC1
1082_at	5335	PLCG1
1083_s_at	4582	MUC1
1084_at	27	ABL2
1085_s_at	5336	PLCG2
1086_at	1439	CSF2RB
1087_at	2057	EPOR
1088_at	627	BDNF
1091_at	5575	PRKAR1B
1092_at	1907	EDN2
1093_at	5519	PPP2R1B
1094_g_at	5519	PPP2R1B
1095_s_at	3082	HGF
1096_g_at	930	CD19
1097_s_at	1236	CCR7
1098_at	7066	THPO
109_at	10244	RABEPK
1100_at	3654	IRAK1
1101_at	322	APBB1
1102_s_at	2908	NR3C1
1103_at	283	ANG
1105_s_at	51561	IL23A
1107_s_at	9636	ISG15
1108_s_at	2041	EPHA1
1109_s_at	5154	PDGFA
110_at	1464	CSPG4
1110_at	10730	YME1L1
1111_at	4684	NCAM1
1112_g_at	4684	NCAM1
1113_at	650	BMP2
1114_at	652	BMP4
1115_at	5196	PF4
1117_at	978	CDA
1118_at	5734	PTGER4
1119_at	6118	RPA2
111_at	5875	RABGGTA
1120_at	2947	GSTM3
1121_g_at	2947	GSTM3
1123_at	2692	GHRHR
1124_at	4297	KMT2A
1125_s_at	960	CD44
1126_s_at	960	CD44
1127_at	6195	RPS6KA1
1128_s_at	1230	CCR1
1129_at	2636	GBX1
112_g_at	6872	TAF1
1130_at	5604	MAP2K1
1131_at	5605	MAP2K2
1132_s_at	5916	RARG
1133_at	2020	EN2
1134_at	10188	TNK2
1135_at	2869	GRK5
1136_at	1841	DTYMK
1137_at	6575	SLC20A2
1138_at	6574	SLC20A1
1139_at	10672	GNA13
113_i_at	4137	MAPT
1140_at	3682	ITGAE
1141_at	4161	MC5R
1143_s_at	2263	FGFR2
1144_at	2263	FGFR2
1145_g_at	2263	FGFR2
1146_at	920	CD4
1147_at	7025	NR2F1
1148_s_at	3084	NRG1
1149_at	7942	TFEB
114_r_at	4137	MAPT
1150_at	5791	PTPRE
1151_at	6146	RPL22
1154_at	1965	EIF2S1
1156_at	6667	SP1
1157_s_at	3454	IFNAR1
1159_at	3574	IL7
115_at	7057	THBS1
1160_at	1537	CYC1
1161_at	3326	HSP90AB1
1162_g_at	2794	GNL1
1163_at	5291	PIK3CB
1164_at	7321	UBE2D1
1165_at	3606	IL18
1166_at	5708	PSMD2
1167_s_at	4324	MMP15
1168_at	54661	PCDHB17P
1169_at	56099	PCDHGB7
116_at	5576	PRKAR2A
1170_at	1435	CSF1
1171_s_at	5451	POU2F1
1172_at	6303	SAT1
1173_g_at	6303	SAT1
1174_at	4342	MOS
1175_s_at	1558	CYP2C8
1176_at	3690	ITGB3
1178_at	1719	DHFR
117_at	3310	HSPA6
1181_at	2794	GNL1
1182_at	5334	PLCL1
1183_at	6361	CCL17
1185_at	3563	IL3RA
1186_at	2662	GDF10
1187_at	3980	LIG3
1188_g_at	3980	LIG3
1189_at	1024	CDK8
118_at	3706	ITPKA
1190_at	5800	PTPRO
1191_s_at	5717	PSMD11
1192_at	5718	PSMD12
1193_at	7337	UBE3A
1194_g_at	7337	UBE3A
1195_s_at	9270	ITGB1BP1
1196_at	1104	RCC1
1197_at	72	ACTG2
1198_at	1910	EDNRB
1200_at	2736	GLI2
1201_at	9363	RAB33A
1202_g_at	9363	RAB33A
1203_at	3624	INHBA
1204_at	1608	DGKG
1206_at	1020	CDK5
1207_at	1021	CDK6
1208_at	5753	PTK6
1209_at	7189	TRAF6
120_at	3672	ITGA1
1210_s_at	8718	TNFRSF25
1211_s_at	8738	CRADD
1212_at	2954	GSTZ1
1213_at	6733	SRPK2
1214_s_at	3456	IFNB1
1217_g_at	5579	PRKCB
1218_at	2063	NR2F6
1219_at	3660	IRF2
121_at	7849	PAX8
1220_g_at	3660	IRF2
1221_at	5869	RAB5B
1222_at	5128	CDK17
1223_at	5129	CDK18
1224_at	5127	CDK16
1225_g_at	5127	CDK16
1226_at	6868	ADAM17
1227_g_at	6868	ADAM17
1228_s_at	4253	MIA2
1229_at	10903	MTMR11
122_at	5558	PRIM2
1230_g_at	10903	MTMR11
1231_at	7320	UBE2B
1232_s_at	3484	IGFBP1
1233_s_at	558	AXL
1234_at	2042	EPHA3
1235_at	7534	YWHAZ
1236_s_at	4763	NF1
1237_at	8870	IER3
1238_at	5601	MAPK9
1239_s_at	835	CASP2
123_at	5587	PRKD1
1240_at	835	CASP2
1241_at	8073	PTP4A2
1242_at	2077	ERF
1243_at	1643	DDB2
1244_at	6773	STAT2
1245_i_at	5062	PAK2
1246_at	5802	PTPRS
1247_g_at	5802	PTPRS
1248_at	5437	POLR2H
1249_at	2549	GAB1
1250_at	5591	PRKDC
1251_g_at	5909	RAP1GAP
1252_at	7905	REEP5
1253_at	2932	GSK3B
1254_at	2978	GUCA1A
1255_g_at	2978	GUCA1A
1256_at	5789	PTPRD
1257_s_at	5768	QSOX1
1258_s_at	2072	ERCC4
1259_at	7571	ZNF23
1262_s_at	7042	TGFB2
1263_at	3562	IL3
1264_at	5771	PTPN2
1265_g_at	5771	PTPN2
1266_s_at	3932	LCK
1267_at	5583	PRKCH
1268_at	7317	UBA1
1269_at	5295	PIK3R1
1270_at	5909	RAP1GAP
1271_g_at	5970	RELA
1272_at	1968	EIF2S3
1273_r_at	997	CDC34
1274_s_at	997	CDC34
1275_at	5229	PGGT1B
1276_g_at	11030	RBPMS
1277_at	27237	ARHGEF16
1278_at	558	AXL
1280_i_at	2872	MKNK2
1281_f_at	2872	MKNK2
1282_s_at	2011	MARK2
1283_at	9175	MAP3K13
1284_at	23683	PRKD3
1285_at	4750	NEK1
1287_at	142	PARP1
1288_s_at	1915	EEF1A1
1289_at	2949	GSTM5
128_at	1513	CTSK
1290_g_at	2949	GSTM5
1291_s_at	2264	FGFR4
1292_at	1844	DUSP2
1293_s_at	2822	GPLD1
1295_at	5970	RELA
1296_at	1013	CDH15
1297_at	11030	RBPMS
1298_at	2099	ESR1
1299_at	7014	TERF2
129_g_at	1513	CTSK
1300_at	7516	XRCC2
1303_at	6452	SH3BP2
1306_at	1981	EIF4G1
1307_at	7507	XPA
1308_g_at	7507	XPA
1309_at	5691	PSMB3
130_s_at	7080	NKX2-1
1310_at	5690	PSMB2
1311_at	5692	PSMB4
1312_at	5714	PSMD8
1313_at	5695	PSMB7
1314_at	5707	PSMD1
1315_at	4946	OAZ1
1316_at	7067	THRA
1317_at	4486	MST1R
1318_at	5928	RBBP4
1319_at	4921	DDR2
131_at	6882	TAF11
1320_at	11099	PTPN21
1321_s_at	2012	EMP1
1322_at	1869	E2F1
1323_at	7314	UBB
1324_at	5883	RAD9A
1325_at	4086	SMAD1
1326_at	843	CASP10
1327_s_at	4217	MAP3K5
1328_at	7188	TRAF5
1329_s_at	7013	TERF1
1330_at	4215	MAP3K3
1331_s_at	8718	TNFRSF25
1332_f_at	2688	GH1
1333_f_at	613	BCR
1334_s_at	1440	CSF3
1335_at	3480	IGF1R
1336_s_at	5579	PRKCB
1337_s_at	5914	RARA
1339_s_at	613	BCR
133_at	1075	CTSC
1340_s_at	3082	HGF
1341_at	6688	SPI1
1342_g_at	7013	TERF1
1343_s_at	6317	SERPINB3
1344_at	5077	PAX3
1345_s_at	5077	PAX3
1346_at	4504	MT3
1347_at	994	CDC25B
1348_s_at	5095	PCCA
134_at	10152	ABI2
1350_at	8529	CYP4F2
1351_at	2050	EPHB4
1352_at	3577	CXCR1
1353_g_at	3577	CXCR1
1354_at	4915	NTRK2
1355_g_at	4915	NTRK2
1356_at	7818	DAP3
1357_at	7375	USP4
1358_s_at	2537	IFI6
1359_at	3605	IL17A
135_g_at	10152	ABI2
1360_at	7518	XRCC4
1361_at	7013	TERF1
1362_s_at	6257	RXRB
1363_at	2263	FGFR2
1364_at	5803	PTPRZ1
1365_at	3560	IL2RB
1366_i_at	7316	UBC
1367_f_at	7316	UBC
1368_at	3554	IL1R1
1369_s_at	3576	CXCL8
136_at	2853	GPR31
1370_at	3575	IL7R
1372_at	7130	TNFAIP6
1373_at	6929	TCF3
1374_g_at	6929	TCF3
1375_s_at	7077	TIMP2
1376_at	3978	LIG1
1377_at	4790	NFKB1
1378_g_at	4790	NFKB1
1379_at	1969	EPHA2
137_at	10661	KLF1
1380_at	2252	FGF7
1381_at	5915	RARB
1382_at	6117	RPA1
1383_at	5520	PPP2R2A
1384_at	5521	PPP2R2B
1385_at	7045	TGFBI
1386_at	5780	PTPN9
1388_g_at	7421	VDR
1389_at	4311	MME
138_at	11184	MAP4K1
1390_s_at	2691	GHRH
1392_at	2870	GRK6
1393_at	4951	OCM2
1394_at	387	RHOA
1395_at	389	RHOC
1396_at	3488	IGFBP5
1397_at	4296	MAP3K11
1398_g_at	4296	MAP3K11
1399_at	6921	ELOC
139_at	9229	DLGAP1
1400_at	1437	CSF2
1401_g_at	1437	CSF2
1402_at	4067	LYN
1403_s_at	6352	CCL5
1404_r_at	6352	CCL5
1405_i_at	6352	CCL5
1406_at	7181	NR2C1
1407_g_at	7181	NR2C1
1408_at	2249	FGF4
1409_at	6722	SRF
140_s_at	6434	TRA2B
1410_at	7421	VDR
1411_at	1584	CYP11B1
1418_at	4843	NOS2
1419_g_at	4843	NOS2
141_s_at	2972	BRF1
1421_at	814	CAMK4
1422_g_at	814	CAMK4
1423_at	7326	UBE2G1
1424_s_at	7533	YWHAH
1425_at	56125	PCDHB11
1426_at	6503	SLA
1427_g_at	6503	SLA
1428_at	7068	THRB
142_at	6874	TAF4
1430_at	6750	SST
1431_at	1571	CYP2E1
1432_s_at	4058	LTK
1433_g_at	4088	SMAD3
1434_at	5728	PTEN
1435_f_at	3452	IFNA21
1436_at	1565	CYP2D6
1437_at	5578	PRKCA
1438_at	2049	EPHB3
1439_s_at	9261	MAPKAPK2
143_s_at	6877	TAF5
1440_s_at	355	FAS
1441_s_at	355	FAS
1442_at	2100	ESR2
1443_at	1852	DUSP9
1444_at	5715	PSMD9
1445_at	9034	CCRL2
1446_at	5683	PSMA2
1447_at	5689	PSMB1
1448_at	5684	PSMA3
1449_at	5685	PSMA4
144_at	7084	TK2
1450_g_at	5685	PSMA4
1451_s_at	10631	POSTN
1452_at	8543	LMO4
1453_at	4087	SMAD2
1454_at	4088	SMAD3
1455_f_at	1559	CYP2C9
1456_s_at	3428	IFI16
1457_at	3716	JAK1
1458_at	5774	PTPN3
1459_at	5775	PTPN4
145_s_at	6910	TBX5
1460_g_at	5775	PTPN4
1461_at	4792	NFKBIA
1462_s_at	5424	POLD1
1463_at	5782	PTPN12
1464_at	619552	MIR483
1465_s_at	4603	MYBL1
1466_s_at	2252	FGF7
1467_at	2059	EPS8
1468_at	10131	TRAP1
1469_at	9261	MAPKAPK2
146_at	5298	PI4KB
1470_at	5425	POLD2
1471_at	4602	MYB
1472_g_at	4602	MYB
1473_s_at	4602	MYB
1474_s_at	4602	MYB
1475_s_at	4602	MYB
1476_s_at	4602	MYB
1477_s_at	1562	CYP2C18
1478_at	3702	ITK
1479_g_at	3702	ITK
147_at	7251	TSG101
1480_at	3308	HSPA4
1481_at	4321	MMP12
1482_g_at	4321	MMP12
1483_at	1002	CDH4
1484_at	1006	CDH8
1485_at	2045	EPHA7
1486_at	5439	POLR2J
1487_at	2101	ESRRA
1488_at	5796	PTPRK
1489_s_at	4610	MYCL
148_at	22936	ELL2
1490_at	4610	MYCL
1491_at	5806	PTX3
1492_f_at	1549	CYP2A7
1493_r_at	1548	CYP2A6
1494_f_at	1548	CYP2A6
1495_at	4052	LTBP1
1496_at	5786	PTPRA
1497_at	4055	LTBR
1498_at	7535	ZAP70
1499_at	2339	FNTA
149_at	10212	DDX39A
1500_at	7490	WT1
1501_at	3479	IGF1
1503_at	675	BRCA2
1504_s_at	2257	FGF12
1505_at	7298	TYMS
1506_at	3561	IL2RG
1507_s_at	1909	EDNRA
1508_at	3680	ITGA9
1509_at	4325	MMP16
150_at	9223	MAGI1
1510_g_at	4325	MMP16
1511_at	53358	SHC3
1512_at	1859	DYRK1A
1513_at	354	KLK3
1514_g_at	354	KLK3
1515_at	2237	FEN1
1516_g_at	2237	FEN1
1517_at	1572	CYP2F1
1518_at	2113	ETS1
1519_at	2114	ETS2
151_s_at	203068	TUBB
1520_s_at	3553	IL1B
1521_at	4830	NME1
1522_at	8711	TNK1
1523_g_at	8711	TNK1
1524_at	5891	MOK
1525_s_at	2253	FGF8
1526_i_at	2253	FGF8
1527_s_at	90634	N4BP2L1
1528_at	116828	N4BP2L2-IT2
1529_at	10129	FRY
1530_g_at	10129	FRY
1531_at	10443	N4BP2L2
1532_g_at	10443	N4BP2L2
1533_at	10111	RAD50
1534_at	3595	IL12RB2
1535_at	1112	FOXN3
1536_at	990	CDC6
1537_at	1956	EGFR
1538_s_at	3558	IL2
1539_at	4893	NRAS
153_f_at	8970	HIST1H2BJ
1540_f_at	3442	IFNA5
1542_at	1950	EGF
1543_at	5608	MAP2K6
1544_at	641	BLM
1545_g_at	2321	FLT1
1546_at	3373	HYAL1
1547_at	3718	JAK3
1548_s_at	3586	IL10
154_at	6872	TAF1
1550_at	10573	MRPL28
1551_g_at	10573	MRPL28
1552_i_at	1553	CYP2A13
1553_r_at	1553	CYP2A13
1554_f_at	1553	CYP2A13
1556_at	10181	RBM5
1557_at	5058	PAK1
1558_g_at	5058	PAK1
1559_at	5062	PAK2
155_s_at	7341	SUMO1
1560_g_at	5062	PAK2
1563_s_at	7132	TNFRSF1A
1564_at	207	AKT1
1565_s_at	2885	GRB2
1566_at	4684	NCAM1
1567_at	2321	FLT1
1568_s_at	3455	IFNAR2
1569_r_at	3588	IL10RB
156_s_at	2842	GPR19
1570_f_at	5925	RB1
1571_f_at	5925	RB1
1572_s_at	3643	INSR
1573_at	5155	PDGFB
1574_s_at	3565	IL4
1575_at	5243	ABCB1
1577_at	367	AR
1578_g_at	367	AR
1579_at	5008	OSM
157_at	23532	PRAME
1580_f_at	3441	IFNA4
1581_s_at	7155	TOP2B
1582_at	1048	CEACAM5
1583_at	7133	TNFRSF1B
1584_at	995	CDC25C
1585_at	2065	ERBB3
1586_at	3486	IGFBP3
1587_at	5916	RARG
1588_at	3455	IFNAR2
1589_s_at	3455	IFNAR2
158_at	11080	DNAJB4
1590_s_at	3265	HRAS
1592_at	7153	TOP2A
1593_at	2247	FGF2
1594_at	5432	POLR2C
1595_at	7010	TEK
1596_g_at	7010	TEK
1597_at	2621	GAS6
1598_g_at	2621	GAS6
1599_at	1033	CDKN3
159_at	7424	VEGFC
160020_at	4323	MMP14
160021_r_at	5241	PGR
160022_at	1436	CSF1R
160023_at	7472	WNT2
160024_at	8558	CDK10
160025_at	7039	TGFA
160026_at	5613	PRKX
160027_s_at	3482	IGF2R
160028_s_at	5979	RET
160029_at	5579	PRKCB
160030_at	2690	GHR
160031_at	1001	CDH3
160032_at	3570	IL6R
160033_s_at	7515	XRCC1
160034_s_at	2176	FANCC
160035_at	1087	CEACAM7
160036_at	2103	ESRRB
160037_at	4324	MMP15
160038_s_at	3630	INS
160039_at	5596	MAPK4
160040_at	1908	EDN3
160041_at	26469	PTPN18
160042_s_at	3216	HOXB6
160043_at	4603	MYBL1
160044_g_at	50	ACO2
1600_at	7294	TXK
1601_s_at	3488	IGFBP5
1602_at	5584	PRKCI
1603_g_at	5584	PRKCI
1604_at	2044	EPHA5
1605_g_at	2044	EPHA5
1606_at	2043	EPHA4
1607_at	1030	CDKN2B
1608_at	4233	MET
1609_g_at	4233	MET
160_at	8027	STAM
1610_s_at	1719	DHFR
1611_s_at	3458	IFNG
1612_s_at	3727	JUND
1615_at	598	BCL2L1
1616_at	2254	FGF9
1617_at	7706	TRIM25
1618_at	1588	CYP19A1
1619_g_at	1588	CYP19A1
161_at	9366	RAB9BP1
1620_at	1004	CDH6
1621_at	988	CDC5L
1622_at	5606	MAP2K3
1623_s_at	2241	FER
1624_at	5910	RAP1GDS1
1625_at	3479	IGF1
1626_at	4593	MUSK
1629_s_at	5783	PTPN13
162_at	8237	USP11
1630_s_at	6850	SYK
1633_g_at	11040	PIM2
1634_s_at	7040	TGFB1
1635_at	25	ABL1
1636_g_at	25	ABL1
1637_at	7867	MAPKAPK3
1638_at	2120	ETV6
1639_s_at	1875	E2F5
163_at	1855	DVL1
1640_at	6767	ST13
1641_s_at	1642	DDB1
1642_at	9112	MTA1
1643_g_at	9112	MTA1
1644_at	8668	EIF3I
1645_at	3814	KISS1
1646_at	331	XIAP
1647_at	10788	IQGAP2
1648_at	9180	OSMR
1649_at	54498	SMOX
164_at	2784	GNB3
1650_g_at	54498	SMOX
1651_at	11065	UBE2C
1652_at	11040	PIM2
1656_s_at	25	ABL1
1657_at	5801	PTPRR
1658_g_at	5801	PTPRR
1659_s_at	6009	RHEB
165_g_at	2784	GNB3
1660_at	7334	UBE2N
1661_i_at	354	KLK3
1663_at	5916	RARG
1665_s_at	1890	TYMP
1666_at	3439	IFNA1
1667_s_at	1580	CYP4B1
1668_s_at	7428	VHL
1669_at	7474	WNT5A
166_at	8111	GPR68
1670_at	7027	TFDP1
1671_s_at	1432	MAPK14
1672_f_at	5925	RB1
1673_at	4804	NGFR
1674_at	7525	YES1
1675_at	5921	RASA1
1677_at	3488	IGFBP5
1678_g_at	3488	IGFBP5
1679_at	2555	GABRA2
167_at	1983	EIF5
1680_at	2886	GRB7
1681_at	2099	ESR1
1682_s_at	5243	ABCB1
1683_at	51352	WT1-AS
1684_s_at	7490	WT1
1687_s_at	578	BAK1
1688_s_at	4331	MNAT1
1689_at	8642	DCHS1
168_at	132	ADK
1691_at	26025	PCDHGA12
1692_s_at	2675	GFRA2
1693_s_at	7076	TIMP1
1694_s_at	3192	HNRNPU
1695_at	4738	NEDD8
1696_at	5423	POLB
1697_s_at	5795	PTPRJ
1698_g_at	5607	MAP2K5
1699_at	5607	MAP2K5
169_at	1044	CDX1
1701_at	7011	TEP1
1702_at	3559	IL2RA
1703_g_at	1874	E2F4
1704_at	7410	VAV2
1705_s_at	5915	RARB
1706_at	369	ARAF
1707_g_at	369	ARAF
1708_at	5602	MAPK10
1709_g_at	5602	MAPK10
170_at	1045	CDX2
1710_s_at	7150	TOP1
1711_at	7158	TP53BP1
1712_s_at	6416	MAP2K4
1713_s_at	1029	CDKN2A
1714_at	6239	RREB1
1715_at	8743	TNFSF10
1716_at	8844	KSR1
1717_s_at	330	BIRC3
1718_at	10109	ARPC2
1719_at	4437	MSH3
171_at	7411	VBP1
1720_at	4085	MAD2L1
1721_g_at	4085	MAD2L1
1722_at	5607	MAP2K5
1723_g_at	2065	ERBB3
1724_at	1874	E2F4
1725_s_at	7337	UBE3A
1726_at	5426	POLE
1727_at	2066	ERBB4
1729_at	8717	TRADD
172_at	3635	INPP5D
1730_s_at	2249	FGF4
1731_at	5156	PDGFRA
1732_at	2250	FGF5
